id,state,county,rate
12073,Florida,Leon County,4.7
12075,Florida,Levy County,5.2
12077,Florida,Liberty County,5.4
12079,Florida,Madison County,5.3
12081,Florida,Manatee County,4.6
12083,Florida,Marion County,5.9
12085,Florida,Martin County,5
12086,Florida,Miami-Dade County,5.6
12087,Florida,Monroe County,3.1
12089,Florida,Nassau County,4.6
12091,Florida,Okaloosa County,3.9
12093,Florida,Okeechobee County,5.8
12095,Florida,Orange County,4.3
12097,Florida,Osceola County,5
12099,Florida,Palm Beach County,5.1
12101,Florida,Pasco County,5.1
12103,Florida,Pinellas County,4.3
12105,Florida,Polk County,5.8
12107,Florida,Putnam County,6
12109,Florida,St. Johns County,3.6
12111,Florida,St. Lucie County,6
12113,Florida,Santa Rosa County,4.6
12115,Florida,Sarasota County,4.5
12117,Florida,Seminole County,4.2
12119,Florida,Sumter County,6.7
12121,Florida,Suwannee County,5.1
12123,Florida,Taylor County,5.5
12125,Florida,Union County,4.6
12127,Florida,Volusia County,5
12129,Florida,Wakulla County,4.1
12131,Florida,Walton County,4.1
12133,Florida,Washington County,5
13001,Georgia,Appling County,6.9
13003,Georgia,Atkinson County,4.6
13005,Georgia,Bacon County,5.2
13007,Georgia,Baker County,8.3
13009,Georgia,Baldwin County,7.2
13011,Georgia,Banks County,4.8
13013,Georgia,Barrow County,4.6
13015,Georgia,Bartow County,5
13017,Georgia,Ben Hill County,8.1
13019,Georgia,Berrien County,6.1
13021,Georgia,Bibb County,5.7
13023,Georgia,Bleckley County,7.6
13025,Georgia,Brantley County,6.6
13027,Georgia,Brooks County,4.8
13029,Georgia,Bryan County,4.8
13031,Georgia,Bulloch County,5.6
13033,Georgia,Burke County,7.5
13035,Georgia,Butts County,5.2
13037,Georgia,Calhoun County,6
13039,Georgia,Camden County,5.7
13043,Georgia,Candler County,4.7
13045,Georgia,Carroll County,5.9
13047,Georgia,Catoosa County,4.8
13049,Georgia,Charlton County,5.8
13051,Georgia,Chatham County,5
13053,Georgia,Chattahoochee County,8.6
13055,Georgia,Chattooga County,6.1
13057,Georgia,Cherokee County,4.1
13059,Georgia,Clarke County,5.4
13061,Georgia,Clay County,9.6
13063,Georgia,Clayton County,6.4
13065,Georgia,Clinch County,6
13067,Georgia,Cobb County,4.4
13069,Georgia,Coffee County,5.6
13071,Georgia,Colquitt County,5.3
13073,Georgia,Columbia County,4.8
13075,Georgia,Cook County,5.2
13077,Georgia,Coweta County,4.9
13079,Georgia,Crawford County,5.5
13081,Georgia,Crisp County,5.9
13083,Georgia,Dade County,5.1
13085,Georgia,Dawson County,4.5
13087,Georgia,Decatur County,6.5
13089,Georgia,DeKalb County,5.2
13091,Georgia,Dodge County,7
13093,Georgia,Dooly County,5.5
13095,Georgia,Dougherty County,6.8
13097,Georgia,Douglas County,5.3
13099,Georgia,Early County,6.7
13101,Georgia,Echols County,4.5
13103,Georgia,Effingham County,4.7
13105,Georgia,Elbert County,6.2
13107,Georgia,Emanuel County,7.4
13109,Georgia,Evans County,4.8
13111,Georgia,Fannin County,5
13113,Georgia,Fayette County,4.7
13115,Georgia,Floyd County,5.9
13117,Georgia,Forsyth County,4.1
13119,Georgia,Franklin County,5.5
13121,Georgia,Fulton County,5.2
13123,Georgia,Gilmer County,5.4
13125,Georgia,Glascock County,6.3
13127,Georgia,Glynn County,5
13129,Georgia,Gordon County,5.3
13131,Georgia,Grady County,5.4
13133,Georgia,Greene County,5.9
13135,Georgia,Gwinnett County,4.6
13137,Georgia,Habersham County,5
13139,Georgia,Hall County,4.4
13141,Georgia,Hancock County,8.9
13143,Georgia,Haralson County,5.6
13145,Georgia,Harris County,4.7
13147,Georgia,Hart County,5.3
13149,Georgia,Heard County,5.8
13151,Georgia,Henry County,5.4
13153,Georgia,Houston County,5.3
13155,Georgia,Irwin County,7.3
13157,Georgia,Jackson County,4.1
13159,Georgia,Jasper County,4.7
13161,Georgia,Jeff Davis County,6.3
13163,Georgia,Jefferson County,7
13165,Georgia,Jenkins County,7.1
13167,Georgia,Johnson County,6
13169,Georgia,Jones County,4.6
13171,Georgia,Lamar County,6.4
13173,Georgia,Lanier County,5.3
13175,Georgia,Laurens County,6.4
13177,Georgia,Lee County,4.8
13179,Georgia,Liberty County,5.7
13181,Georgia,Lincoln County,5.7
13183,Georgia,Long County,5.6
13185,Georgia,Lowndes County,5.2
13187,Georgia,Lumpkin County,5
13189,Georgia,McDuffie County,7.2
13191,Georgia,McIntosh County,5.5
13193,Georgia,Macon County,7.6
13195,Georgia,Madison County,4.7
13197,Georgia,Marion County,6.9
13199,Georgia,Meriwether County,6.8
13201,Georgia,Miller County,5.5
13205,Georgia,Mitchell County,6.3
13207,Georgia,Monroe County,4.9
13209,Georgia,Montgomery County,7.1
13211,Georgia,Morgan County,4.8
13213,Georgia,Murray County,6.6
13215,Georgia,Muscogee County,6.6
13217,Georgia,Newton County,5.8
13219,Georgia,Oconee County,4
13221,Georgia,Oglethorpe County,4.5
13223,Georgia,Paulding County,4.5
13225,Georgia,Peach County,6.4
13227,Georgia,Pickens County,4.8
13229,Georgia,Pierce County,5.3
13231,Georgia,Pike County,5.1
13233,Georgia,Polk County,5.7
13235,Georgia,Pulaski County,5.6
13237,Georgia,Putnam County,6.8
13239,Georgia,Quitman County,7.7
13241,Georgia,Rabun County,5.4
13243,Georgia,Randolph County,8.6
13245,Georgia,Richmond County,6.5
13247,Georgia,Rockdale County,5.5
13249,Georgia,Schley County,6.4
13251,Georgia,Screven County,6.9
13253,Georgia,Seminole County,7.5
13255,Georgia,Spalding County,6.5
13257,Georgia,Stephens County,5.9
13259,Georgia,Stewart County,5.8
13261,Georgia,Sumter County,7.4
13263,Georgia,Talbot County,6.6
13265,Georgia,Taliaferro County,6.6
13267,Georgia,Tattnall County,5.4
13269,Georgia,Taylor County,7
13271,Georgia,Telfair County,7.7
13273,Georgia,Terrell County,6
13275,Georgia,Thomas County,6.3
13277,Georgia,Tift County,5.6
13279,Georgia,Toombs County,7.3
13281,Georgia,Towns County,6.3
13283,Georgia,Treutlen County,7.3
13285,Georgia,Troup County,5
13287,Georgia,Turner County,6.4
13289,Georgia,Twiggs County,8.2
13291,Georgia,Union County,4.5
13293,Georgia,Upson County,6.2
13295,Georgia,Walker County,5.3
13297,Georgia,Walton County,4.7
13299,Georgia,Ware County,5.4
13301,Georgia,Warren County,7
13303,Georgia,Washington County,6.3
13305,Georgia,Wayne County,6.6
13307,Georgia,Webster County,8.6
13309,Georgia,Wheeler County,8.5
13311,Georgia,White County,4.4
13313,Georgia,Whitfield County,5.7
13315,Georgia,Wilcox County,6.8
13317,Georgia,Wilkes County,6.7
13319,Georgia,Wilkinson County,6
13321,Georgia,Worth County,5.8
22001,Louisiana,Acadia Parish,7.9
22003,Louisiana,Allen Parish,7.5
22005,Louisiana,Ascension Parish,5.3
22007,Louisiana,Assumption Parish,9
22009,Louisiana,Avoyelles Parish,7.8
22011,Louisiana,Beauregard Parish,6.7
22013,Louisiana,Bienville Parish,8
22015,Louisiana,Bossier Parish,5.9
22017,Louisiana,Caddo Parish,7.4
22019,Louisiana,Calcasieu Parish,5.5
22021,Louisiana,Caldwell Parish,8.4
22023,Louisiana,Cameron Parish,4.8
22025,Louisiana,Catahoula Parish,9.6
22027,Louisiana,Claiborne Parish,7.5
22029,Louisiana,Concordia Parish,9.2
22031,Louisiana,De Soto Parish,8
22033,Louisiana,East Baton Rouge Parish,5.7
22035,Louisiana,East Carroll Parish,11.8
22037,Louisiana,East Feliciana Parish,6.2
22039,Louisiana,Evangeline Parish,8.5
22041,Louisiana,Franklin Parish,9.6
22043,Louisiana,Grant Parish,7.8
22045,Louisiana,Iberia Parish,9.7
22047,Louisiana,Iberville Parish,7.4
22049,Louisiana,Jackson Parish,6.3
22051,Louisiana,Jefferson Parish,5.9
22053,Louisiana,Jefferson Davis Parish,6.7
22055,Louisiana,Lafayette Parish,6.7
22057,Louisiana,Lafourche Parish,6.7
22059,Louisiana,La Salle Parish,6.7
22061,Louisiana,Lincoln Parish,7.5
22063,Louisiana,Livingston Parish,5.3
22065,Louisiana,Madison Parish,9.4
22067,Louisiana,Morehouse Parish,10.4
22069,Louisiana,Natchitoches Parish,8.1
22071,Louisiana,Orleans Parish,6.7
22073,Louisiana,Ouachita Parish,6.7
22075,Louisiana,Plaquemines Parish,5.9
22077,Louisiana,Pointe Coupee Parish,7.2
22079,Louisiana,Rapides Parish,6.9
22081,Louisiana,Red River Parish,6.8
22083,Louisiana,Richland Parish,7.7
22085,Louisiana,Sabine Parish,7.3
22087,Louisiana,St. Bernard Parish,6.9
22089,Louisiana,St. Charles Parish,6
22091,Louisiana,St. Helena Parish,8.5
22093,Louisiana,St. James Parish,8.1
22095,Louisiana,St. John the Baptist Parish,7.5
22097,Louisiana,St. Landry Parish,8.9
22099,Louisiana,St. Martin Parish,8.3
22101,Louisiana,St. Mary Parish,10.1
22103,Louisiana,St. Tammany Parish,5.7
22105,Louisiana,Tangipahoa Parish,7.5
22107,Louisiana,Tensas Parish,10.5
22109,Louisiana,Terrebonne Parish,7.3
22111,Louisiana,Union Parish,6.9
22113,Louisiana,Vermilion Parish,7.9
22115,Louisiana,Vernon Parish,8.1
22117,Louisiana,Washington Parish,7.9
22119,Louisiana,Webster Parish,9.4
22121,Louisiana,West Baton Rouge Parish,6.1
22123,Louisiana,West Carroll Parish,12
22125,Louisiana,West Feliciana Parish,5.5
22127,Louisiana,Winn Parish,8.5
28001,Mississippi,Adams County,8.2
28003,Mississippi,Alcorn County,5
28005,Mississippi,Amite County,7.1
28007,Mississippi,Attala County,6.5
28009,Mississippi,Benton County,6.5
28011,Mississippi,Bolivar County,7.4
28013,Mississippi,Calhoun County,5.2
28015,Mississippi,Carroll County,7.3
28017,Mississippi,Chickasaw County,6.3
28019,Mississippi,Choctaw County,5.3
